"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"25,1";"25,2";"24,7";"82,0";"84,0";"82,0";"21,9";"22,0";"21,8";"1008,4";"1008,4";"1007,4";"4,9";"34,0";"9,3";"";"0,0"
"01/01/2022";"0100";"25,0";"25,2";"25,0";"82,0";"83,0";"82,0";"21,8";"21,9";"21,8";"1008,7";"1008,7";"1008,3";"4,5";"35,0";"9,9";"";"0,0"
"01/01/2022";"0200";"24,8";"25,1";"24,8";"83,0";"83,0";"82,0";"21,8";"21,8";"21,7";"1008,3";"1008,7";"1008,3";"3,8";"45,0";"9,6";"";"0,0"
"01/01/2022";"0300";"24,5";"24,9";"24,5";"85,0";"85,0";"83,0";"21,8";"21,9";"21,8";"1007,8";"1008,3";"1007,8";"2,6";"32,0";"7,8";"";"0,0"
"01/01/2022";"0400";"24,7";"24,7";"24,5";"84,0";"85,0";"84,0";"21,8";"21,8";"21,7";"1007,3";"1007,8";"1007,2";"3,9";"39,0";"6,1";"";"0,0"
"01/01/2022";"0500";"24,5";"24,7";"24,5";"84,0";"84,0";"84,0";"21,7";"21,8";"21,7";"1006,9";"1007,3";"1006,8";"3,0";"43,0";"6,4";"";"0,0"
"01/01/2022";"0600";"24,0";"24,5";"23,9";"87,0";"87,0";"84,0";"21,7";"21,7";"21,6";"1006,9";"1007,0";"1006,7";"3,6";"32,0";"6,2";"";"0,0"
"01/01/2022";"0700";"23,6";"24,0";"23,6";"89,0";"89,0";"87,0";"21,7";"21,8";"21,6";"1007,2";"1007,2";"1006,9";"2,5";"43,0";"5,9";"";"0,0"
"01/01/2022";"0800";"23,4";"23,6";"23,4";"90,0";"90,0";"89,0";"21,6";"21,8";"21,6";"1007,8";"1007,8";"1007,2";"2,2";"35,0";"4,2";"";"0,0"
"01/01/2022";"0900";"23,4";"23,6";"23,4";"90,0";"90,0";"89,0";"21,7";"21,8";"21,7";"1008,3";"1008,4";"1007,7";"0,9";"348,0";"3,5";"12,90";"0,0"
"01/01/2022";"1000";"23,6";"23,6";"23,4";"91,0";"91,0";"90,0";"22,0";"22,1";"21,7";"1008,8";"1008,8";"1008,3";"0,7";"37,0";"1,6";"72,10";"0,0"
"01/01/2022";"1100";"24,3";"24,4";"23,6";"91,0";"92,0";"91,0";"22,7";"22,9";"22,1";"1009,1";"1009,1";"1008,8";"1,9";"52,0";"3,2";"246,40";"0,2"
